rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
35,Adrián,ES ESP,GK,Real Betis,La Liga,39.0,1987.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,7.0,6.0,85.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,34,3.0,2,1,1,1.0,0.73,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Julen Agirrezabala,ES ESP,GK,Valencia,La Liga,25.0,2000.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,30.0,1.67,79.0,52.0,65.8,3.0,7.0,8.0,4.0,22.2,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,47.4,90.0,18,0,,4,0.89,17,30,-13,-0.72,-0.92,0,0,1,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0
84,Alisson,BR BRA,GK,Liverpool,Premier League,33.0,1992.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,31.0,1.19,86.0,57.0,66.3,13.0,8.0,5.0,8.0,30.8,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,68.4,90.0,26,0,,0,1.81,44,31,13,0.5,0.75,0,1,7,0,0,0,0,0,GK,0.0,0.0,0.0,0.038461538461538464,0.2692307692307692,0.0,0.0,0.0
116,Nícolas Andrade,BR BRA,GK,Pisa,Serie A,38.0,1988.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,14.0,2.33,26.0,12.0,46.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0,0,,0.0,0.0,,,90,15.8,90.0,6,0,,32,0.5,4,14,-10,-1.67,-0.57,0,0,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
143,Alphonse Areola,FR FRA,GK,West Ham United,Premier League,33.0,1993.0,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.05,37.0,1.85,108.0,76.0,70.4,4.0,5.0,11.0,0.0,0.0,5.0,0.0,1.0,0,0,,0.0,0.0,,,90,52.6,90.0,20,0,,18,0.85,25,37,-12,-0.6,-0.21,0,1,1,0,0,1,0,0,GK,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.0
146,Paul Argney,FR FRA,GK,Le Havre,Ligue 1,20.0,2006.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,3,3.0,2,1,1,1.0,1.39,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Kepa Arrizabalaga,ES ESP,GK,Arsenal,Premier League,31.0,1994.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,37,3.0,2,1,1,1.0,-0.16,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,Noah Atubolu,DE GER,GK,Freiburg,Bundesliga,24.0,2002.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,57.0,1.68,156.0,100.0,63.5,13.0,8.0,13.0,6.0,17.6,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,1.38,51,57,-6,-0.18,,0,0,6,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.17647058823529413,0.029411764705882353,0.0,0.0
173,Emil Audero,ID IDN,GK,Cremonese,Serie A,29.0,1997.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,50.0,1.47,167.0,123.0,72.5,8.0,7.0,19.0,11.0,32.4,4.0,2.0,0.0,0,0,,0.0,0.0,,,90,89.5,90.0,34,0,,2,0.91,28,50,-22,-0.65,0.1,0,0,6,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.0
186,Mio Backhaus,DE GER,GK,Werder Bremen,Bundesliga,22.0,2004.0,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,56.0,1.75,151.0,100.0,66.2,7.0,8.0,17.0,5.0,15.6,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,94.1,90.0,32,0,,0,0.91,36,56,-20,-0.62,0.87,0,0,13,0,0,0,0,1,GK,0.0,0.0,0.0,0.0,0.40625,0.0,0.0,0.0
240,Augusto Batalla,AR ARG,GK,Rayo Vallecano,La Liga,30.0,1996.0,34,34,3060,34.0,0,0,0,0,0,0,6,0,0.0,37.0,1.09,122.0,91.0,73.8,10.0,13.0,11.0,11.0,32.4,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,89.5,90.0,34,0,,2,1.31,36,37,-1,-0.03,0.47,0,1,4,0,0,0,1,0,GK,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.0,0.029411764705882353,0.0
243,Daniel Batz,DE GER,GK,Mainz 05,Bundesliga,35.0,1991.0,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,27.0,1.29,96.0,70.0,72.9,9.0,7.0,5.0,4.0,19.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,61.8,90.0,21,0,,4,1.62,32,27,5,0.24,1.32,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0
245,Oliver Baumann,DE GER,GK,Hoffenheim,Bundesliga,35.0,1990.0,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,52.0,1.53,145.0,98.0,67.6,18.0,7.0,9.0,7.0,20.6,5.0,0.0,2.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,1.79,65,52,13,0.38,,0,1,6,0,0,1,0,0,GK,0.0,0.0,0.0,0.029411764705882353,0.17647058823529413,0.029411764705882353,0.0,0.0
247,Altay Bayındır,TR TUR,GK,Manchester Utd,Premier League,28.0,1998.0,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,11.0,1.83,24.0,13.0,54.2,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,15.8,90.0,6,0,,32,1.17,7,11,-4,-0.67,-1.39,0,0,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
283,Walter Benítez,AR ARG,GK,Crystal Palace,Premier League,33.0,1993.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,1.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,35,1.0,0,0,0,0.0,0.27,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
289,Daniel Bentley,ENG ENG,GK,Wolves,Premier League,32.0,1993.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,7.0,2.33,13.0,7.0,53.8,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,7.9,90.0,3,0,,6,0.33,1,7,-6,-2.0,-1.0,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
295,Lucas Bergström,FI FIN,GK,Mallorca,La Liga,23.0,2002.0,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,7.0,1.4,22.0,15.0,68.2,1.0,2.0,2.0,2.0,40.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,13.2,90.0,5,0,,22,1.0,4,7,-3,-0.6,-0.39,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,Justin Bijlow,NL NED,GK,Genoa,Serie A,28.0,1998.0,16,16,1395,15.5,0,0,0,0,0,0,1,0,0.0,20.0,1.29,60.0,45.0,75.0,6.0,3.0,7.0,5.0,31.3,5.0,0.0,0.0,0,0,,0.0,0.0,,,87,40.8,87.0,15,0,,1,1.31,19,20,-1,-0.06,0.34,0,1,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0,0.0
322,Marco Bizot,NL NED,GK,Aston Villa,Premier League,35.0,1991.0,7,6,585,6.5,0,0,0,0,0,0,2,0,0.0,10.0,1.54,28.0,19.0,67.9,3.0,2.0,1.0,2.0,33.3,1.0,0.0,0.0,0,0,,0.0,0.0,,,84,17.1,90.0,6,1,45.0,30,1.71,10,10,0,0.0,-0.22,0,1,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0
325,Janis Blaswich,DE GER,GK,Leverkusen,Bundesliga,35.0,1991.0,11,10,931,10.3,0,0,0,0,0,0,1,0,0.0,9.0,0.87,50.0,41.0,82.0,5.0,4.0,1.0,3.0,30.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,85,30.4,90.0,10,1,31.0,21,1.73,17,9,8,0.77,0.22,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,Arnaud Bodart,BE BEL,GK,Lille,Ligue 1,28.0,1998.0,3,2,226,2.5,0,0,0,0,0,0,0,0,0.0,3.0,1.19,6.0,4.0,66.7,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,75,7.4,90.0,2,1,46.0,31,1.0,2,3,-1,-0.4,-0.91,0,1,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
414,Jean Butez,FR FRA,GK,Como,Serie A,30.0,1995.0,38,38,3420,38.0,0,1,1,0,0,0,3,0,0.03,29.0,0.76,110.0,86.0,78.2,20.0,11.0,7.0,19.0,50.0,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.87,65,29,36,0.95,,0,0,9,0,0,0,2,0,GK,0.0,0.02631578947368421,0.02631578947368421,0.0,0.23684210526315788,0.0,0.05263157894736842,0.0
461,Elia Caprile,IT ITA,GK,Cagliari,Serie A,24.0,2001.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,53.0,1.39,173.0,121.0,70.5,11.0,10.0,17.0,8.0,21.1,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.13,40,53,-13,-0.34,,0,0,8,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0
467,Dani Cárdenas,ES ESP,GK,Rayo Vallecano,La Liga,29.0,1997.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,7.0,1.75,24.0,19.0,75.0,2.0,1.0,1.0,1.0,25.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,90,10.5,90.0,4,0,,31,1.75,6,7,-1,-0.25,-0.19,0,0,0,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
475,Patrik Carlgren,SE SWE,GK,Nantes,Ligue 1,34.0,1992.0,3,2,182,2.0,0,0,0,0,0,0,0,0,0.0,2.0,0.99,13.0,11.0,84.6,1.0,1.0,0.0,1.0,50.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,61,6.1,90.0,2,1,2.0,31,1.33,4,1,3,1.48,2.32,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
480,Marco Carnesecchi,IT ITA,GK,Atalanta,Serie A,25.0,2000.0,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,35.0,0.95,144.0,112.0,77.1,15.0,13.0,9.0,13.0,35.1,2.0,2.0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,1,1.57,50,35,15,0.41,0.41,0,1,6,0,1,0,0,0,GK,0.0,0.0,0.0,0.02702702702702703,0.16216216216216217,0.0,0.0,0.02702702702702703
533,Lucas Chevalier,FR FRA,GK,Paris Saint-Germain,Ligue 1,24.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,13.0,0.76,43.0,32.0,72.1,12.0,3.0,2.0,9.0,52.9,1.0,1.0,1.0,0,0,,0.0,0.0,,,90,50.0,90.0,17,0,,12,2.29,33,13,20,1.18,-0.29,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0
540,Oliver Christensen,DK DEN,GK,Fiorentina,Serie A,27.0,1999.0,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.05,7.0,6.0,85.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,86,2.5,86.0,0,0,,19,1.0,1,1,0,0.0,0.24,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
571,Nikita Contini Baranovsky,IT ITA,GK,Napoli,Serie A,30.0,1996.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0,0,,0.0,0.0,,,11,0.3,,0,1,11.0,31,3.0,0,0,0,0.0,-0.58,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,Edoardo Corvi,IT ITA,GK,Parma,Serie A,25.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,18.0,1.06,60.0,44.0,75.0,8.0,4.0,5.0,7.0,41.2,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,44.7,90.0,17,0,,21,1.65,14,18,-4,-0.24,0.43,0,0,5,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0
591,Grégoire Coudert,FR FRA,GK,Brest,Ligue 1,27.0,1999.0,25,24,2192,24.4,0,0,0,0,0,0,2,0,0.0,40.0,1.64,112.0,76.0,67.0,9.0,5.0,10.0,6.0,25.0,3.0,1.0,0.0,0,0,,0.0,0.0,,,88,71.6,90.0,24,1,32.0,9,1.28,34,40,-6,-0.25,0.38,0,1,8,0,0,0,0,0,GK,0.0,0.0,0.0,0.04098360655737705,0.3278688524590164,0.0,0.0,0.0
601,Thibaut Courtois,BE BEL,GK,Real Madrid,La Liga,34.0,1992.0,32,32,2880,32.0,0,0,0,0,0,0,1,0,0.0,28.0,0.87,94.0,70.0,74.5,24.0,3.0,5.0,13.0,40.6,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,84.2,90.0,32,0,,0,2.34,67,28,39,1.22,0.72,0,1,2,0,0,0,1,0,GK,0.0,0.0,0.0,0.03125,0.0625,0.0,0.03125,0.0
617,Pablo Cuñat,ES ESP,GK,Levante,La Liga,24.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,5.0,2.5,16.0,11.0,68.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.3,90.0,2,0,,36,0.0,3,5,-2,-1.0,-0.67,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,Finn Dahmen,DE GER,GK,Augsburg,Bundesliga,28.0,1998.0,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,61.0,1.79,159.0,105.0,65.4,12.0,7.0,15.0,5.0,14.7,6.0,1.0,0.0,1,0,0.0,0.03,0.0,0.0,,90,100.0,90.0,34,0,,0,1.26,45,61,-16,-0.47,,0,0,9,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.0,0.0
639,Karl Darlow,WLS WAL,GK,Leeds United,Premier League,35.0,1990.0,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,27.0,1.23,88.0,63.0,71.6,7.0,8.0,7.0,5.0,22.7,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,57.9,90.0,22,0,,15,1.32,26,27,-1,-0.05,0.33,0,0,7,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.0,0.0
653,Jeffrey De Lange,NL NED,GK,Marseille,Ligue 1,28.0,1998.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,11.0,2.2,24.0,13.0,54.2,3.0,0.0,2.0,1.0,20.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,14.7,90.0,5,0,,29,1.8,15,11,4,0.8,0.32,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,Théo De Percin,MQ MTQ,GK,Auxerre,Ligue 1,25.0,2001.0,8,5,598,6.6,0,0,0,0,0,0,0,0,0.0,9.0,1.35,22.0,15.0,63.6,1.0,1.0,3.0,1.0,20.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,75,19.5,90.0,5,3,49.0,26,1.0,10,9,1,0.15,0.55,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,0.0,0.0
678,Rémy Descamps,FR FRA,GK,Lyon,Ligue 1,29.0,1996.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,3.0,0.6,17.0,14.0,82.4,3.0,1.0,1.0,4.0,80.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,14.7,90.0,5,0,,24,2.0,6,3,3,0.6,0.26,0,0,0,0,0,0,0,1,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683,Raffaele Di Gennaro,IT ITA,GK,Inter,Serie A,32.0,1993.0,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,1.0,9.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0.0,0.0,,,10,0.3,,0,1,10.0,22,1.0,0,1,-1,-9.0,-10.45,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Michele Di Gregorio,IT ITA,GK,Juventus,Serie A,28.0,1997.0,30,29,2655,29.5,0,0,0,0,0,0,1,0,0.0,25.0,0.85,85.0,60.0,71.8,15.0,9.0,5.0,14.0,48.3,1.0,0.0,2.0,0,0,,0.0,0.0,,,89,77.6,90.0,29,1,45.0,8,1.9,46,25,21,0.71,0.01,0,0,5,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.1694915254237288,0.0,0.0,0.0
704,Mory Diaw,SN SEN,GK,Le Havre,Ligue 1,32.0,1993.0,30,30,2655,29.5,0,1,1,0,0,0,1,0,0.03,41.0,1.39,113.0,80.0,69.0,6.0,12.0,12.0,7.0,23.3,6.0,2.0,0.0,0,0,,0.0,0.0,,,89,86.8,89.0,29,0,,1,1.0,28,41,-13,-0.44,-0.66,0,0,6,0,0,2,0,0,GK,0.0,0.03389830508474576,0.03389830508474576,0.0,0.2033898305084746,0.06779661016949153,0.0,0.0
719,Stole Dimitrievski,MK MKD,GK,Valencia,La Liga,32.0,1993.0,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,25.0,1.25,74.0,52.0,70.3,10.0,3.0,7.0,5.0,25.0,3.0,0.0,1.0,0,0,,0.0,0.0,,,90,52.6,90.0,20,0,,15,1.65,29,25,4,0.2,0.92,0,0,4,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0
731,Yehvann Diouf,SN SEN,GK,Nice,Ligue 1,26.0,1999.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,45.0,1.73,130.0,91.0,69.2,6.0,7.0,13.0,5.0,19.2,5.0,1.0,1.0,0,0,,0.0,0.0,,,90,76.5,90.0,26,0,,6,0.96,26,45,-19,-0.73,-0.23,0,0,4,0,0,2,0,0,GK,0.0,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.0,0.0
734,Matías Dituro,AR ARG,GK,Elche,La Liga,39.0,1987.0,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,29.0,1.32,89.0,64.0,71.9,7.0,9.0,6.0,4.0,18.2,4.0,0.0,1.0,0,0,,0.0,0.0,,,90,57.9,90.0,22,0,,16,1.36,28,29,-1,-0.05,0.39,0,0,7,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.3181818181818182,0.045454545454545456,0.0,0.0
738,Marko Dmitrović,RS SRB,GK,Espanyol,La Liga,34.0,1992.0,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,54.0,1.46,182.0,133.0,73.1,12.0,9.0,16.0,10.0,27.0,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,1,1.22,42,54,-12,-0.32,-0.32,0,0,5,0,0,0,2,0,GK,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.05405405405405406,0.0
753,Gianluigi Donnarumma,IT ITA,GK,Manchester City,Premier League,27.0,1999.0,34,34,3060,34.0,0,0,0,0,0,0,8,0,0.0,29.0,0.85,105.0,75.0,72.4,22.0,9.0,3.0,15.0,44.1,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,89.5,90.0,34,0,,0,2.21,71,29,42,1.24,1.24,0,0,4,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.11764705882352941,0.029411764705882353,0.0,0.0
