rank,player,nation,position,team,league,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_no_pk,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_no_pk,gk_goals_against,gk_goals_against_90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_draws,gk_losses,gk_clean_sheets,gk_clean_sheet_pct,gk_pk_against,gk_pk_saved,gk_pk_missed,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,minutes_per_match,minutes_pct,minutes_per_start,complete_matches,substitutions_in,minutes_per_sub,unused_sub,points_per_match,team_goals_on_pitch,team_goals_against_on_pitch,goal_diff_on_pitch,goal_diff_per_90,on_off,second_yellow,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,own_goals,position_primary,goals_per_90,assists_per_90,g_a_per_90,fouls_comm_per_90,fouls_drawn_per_90,interceptions_per_90,tackles_won_per_90,crosses_per_90
2231,Robin Risser,FR FRA,GK,Lens,Ligue 1,21.0,2004.0,33,33,2970,33.0,0,1,1,0,0,0,2,0,0.03,35.0,1.06,106.0,76.0,69.8,21.0,4.0,8.0,11.0,33.3,3.0,2.0,1.0,0,0,,0.0,0.0,,,90,97.1,90.0,33,0,,1,2.03,62,35,27,0.82,-3.18,0,0,5,0,0,0,0,0,GK,0.0,0.030303030303030304,0.030303030303030304,0.0,0.15151515151515152,0.0,0.0,0.0
2254,Robin Roefs,NL NED,GK,Sunderland,Premier League,23.0,2003.0,35,35,3150,35.0,0,0,0,0,0,0,4,0,0.0,46.0,1.31,151.0,108.0,70.9,12.0,12.0,11.0,10.0,28.6,2.0,1.0,0.0,0,0,,0.0,0.0,,,90,92.1,90.0,35,0,,0,1.37,39,46,-7,-0.2,-0.53,0,0,14,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2260,Leo Román,ES ESP,GK,Mallorca,La Liga,25.0,2000.0,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,50.0,1.52,142.0,99.0,69.0,10.0,7.0,16.0,4.0,12.1,6.0,1.0,1.0,0,0,,0.0,0.0,,,90,86.8,90.0,33,0,,0,1.12,43,50,-7,-0.21,0.39,0,1,2,0,0,1,1,0,GK,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0
2292,Gerónimo Rulli,AR ARG,GK,Marseille,Ligue 1,34.0,1992.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,34.0,1.17,105.0,76.0,72.4,15.0,5.0,9.0,8.0,27.6,5.0,0.0,1.0,1,0,0.0,0.03,0.0,0.0,,90,85.3,90.0,29,0,,3,1.77,53,35,18,0.62,0.62,0,1,14,0,0,0,0,0,GK,0.0,0.0,0.0,0.034482758620689655,0.4827586206896552,0.0,0.0,0.0
2296,Mathew Ryan,AU AUS,GK,Levante,La Liga,34.0,1992.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,56.0,1.56,176.0,124.0,69.9,11.0,9.0,16.0,9.0,25.0,3.0,1.0,0.0,2,0,0.0,0.06,0.0,0.0,,90,94.7,90.0,36,0,,0,1.17,44,56,-12,-0.33,0.67,0,0,1,0,0,1,1,0,GK,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0
2298,Frederik Rønnow,DK DEN,GK,Union Berlin,Bundesliga,33.0,1992.0,30,30,2640,29.3,0,0,0,0,0,0,2,0,0.0,54.0,1.84,125.0,75.0,61.6,7.0,8.0,15.0,5.0,16.7,6.0,0.0,0.0,0,0,,0.0,0.0,,,88,86.3,88.0,29,0,,0,0.97,33,54,-21,-0.72,-2.22,0,1,3,0,0,1,1,0,GK,0.0,0.0,0.0,0.034129692832764506,0.10238907849829351,0.034129692832764506,0.034129692832764506,0.0
2300,José Sá,PT POR,GK,Wolves,Premier League,33.0,1993.0,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,37.0,1.61,99.0,65.0,65.7,3.0,8.0,12.0,4.0,17.4,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,60.5,90.0,23,0,,11,0.74,20,37,-17,-0.74,0.86,0,0,6,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.2608695652173913,0.0,0.0,0.0
2310,Matvei Safonov,RU RUS,GK,Paris Saint-Germain,Ligue 1,27.0,1999.0,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.0,14.0,0.93,53.0,40.0,73.6,11.0,0.0,4.0,8.0,53.3,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,44.1,90.0,15,0,,15,2.2,38,14,24,1.6,0.49,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
2329,Brice Samba,FR FRA,GK,Rennes,Ligue 1,32.0,1994.0,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.0,44.0,1.37,123.0,84.0,67.5,17.0,8.0,7.0,10.0,31.3,4.0,2.0,0.0,0,0,,0.0,0.0,,,90,94.1,90.0,32,0,,0,1.84,57,44,13,0.41,2.41,0,1,7,0,0,0,1,0,GK,0.0,0.0,0.0,0.03125,0.21875,0.0,0.03125,0.0
2339,Robert Sánchez,ES ESP,GK,Chelsea,Premier League,28.0,1997.0,35,35,3039,33.8,0,1,1,0,0,0,3,1,0.03,49.0,1.45,145.0,97.0,67.6,13.0,8.0,14.0,9.0,25.7,2.0,0.0,0.0,0,0,,0.0,0.0,,,87,88.9,87.0,33,0,,1,1.34,50,47,3,0.09,-0.62,0,2,13,0,0,1,0,0,GK,0.0,0.02958579881656805,0.02958579881656805,0.0591715976331361,0.38461538461538464,0.02958579881656805,0.0,0.0
2360,Kauã Santos,BR BRA,GK,Eintracht Frankfurt,Bundesliga,23.0,2003.0,13,13,1084,12.0,0,0,0,0,0,0,0,0,0.0,32.0,2.66,68.0,37.0,54.4,3.0,4.0,6.0,2.0,15.4,1.0,0.0,0.0,0,0,,0.0,0.0,,,83,35.4,83.0,12,0,,12,1.0,27,32,-5,-0.42,-0.46,0,0,3,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.0
2375,Razvan Sava,RO ROU,GK,Udinese,Serie A,23.0,2002.0,7,6,620,6.9,0,0,0,0,0,0,1,0,0.0,14.0,2.03,28.0,14.0,50.0,2.0,2.0,2.0,1.0,16.7,0.0,0.0,0.0,0,0,,0.0,0.0,,,89,18.1,90.0,6,1,80.0,27,1.14,7,14,-7,-1.02,-1.14,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2399,Marvin Schwäbe,DE GER,GK,Köln,Bundesliga,31.0,1995.0,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,63.0,1.85,148.0,92.0,60.8,7.0,11.0,16.0,3.0,8.8,5.0,2.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,0.94,49,63,-14,-0.41,,0,1,4,0,0,3,1,0,GK,0.0,0.0,0.0,0.029411764705882353,0.11764705882352941,0.08823529411764706,0.029411764705882353,0.0
2402,Simone Scuffet,IT ITA,GK,Pisa,Serie A,29.0,1996.0,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,15.0,2.14,26.0,14.0,53.8,0.0,3.0,4.0,1.0,14.3,3.0,0.0,0.0,0,0,,0.0,0.0,,,90,18.4,90.0,7,0,,25,0.43,6,15,-9,-1.29,-0.12,0,0,4,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
2410,Matz Sels,BE BEL,GK,Nottingham Forest,Premier League,34.0,1992.0,31,30,2668,29.6,0,0,0,0,0,0,2,0,0.0,39.0,1.32,127.0,93.0,72.4,10.0,10.0,10.0,7.0,23.3,4.0,1.0,0.0,0,0,,0.0,0.0,,,86,78.0,89.0,29,1,13.0,3,1.29,42,39,3,0.1,0.82,0,0,4,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.13513513513513511,0.0,0.03378378378378378,0.0
2413,Adrian Šemper,HR CRO,GK,Pisa,Serie A,28.0,1998.0,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,42.0,1.68,122.0,82.0,67.2,1.0,9.0,15.0,4.0,16.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,65.8,90.0,25,0,,8,0.48,16,42,-26,-1.04,0.42,0,0,6,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0
2430,Mathys Silestrie,FR FRA,GK,Rennes,Ligue 1,20.0,2005.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,6.0,3.0,14.0,8.0,57.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.9,90.0,2,0,,29,0.0,2,6,-4,-2.0,-2.41,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,Marco Silvestri,IT ITA,GK,Cremonese,Serie A,35.0,1991.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,7.0,1.75,22.0,15.0,68.2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,10.5,90.0,4,0,,34,0.75,4,7,-3,-0.75,-0.1,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,Unai Simón,ES ESP,GK,Athletic Club,La Liga,28.0,1997.0,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,54.0,1.46,146.0,97.0,65.1,13.0,6.0,18.0,6.0,16.2,3.0,2.0,1.0,0,0,,0.0,0.0,,,90,97.4,90.0,37,0,,1,1.22,41,54,-13,-0.35,1.65,0,0,8,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.0
2449,Antonio Sivera,ES ESP,GK,Alavés,La Liga,29.0,1996.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,56.0,1.47,148.0,97.0,65.5,11.0,10.0,17.0,5.0,13.2,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.13,44,56,-12,-0.32,,0,1,1,0,0,0,1,1,GK,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0
2455,Łukasz Skorupski,PL POL,GK,Bologna,Serie A,35.0,1991.0,19,19,1592,17.7,0,0,0,0,0,0,1,1,0.0,18.0,1.02,49.0,33.0,67.3,10.0,4.0,5.0,8.0,42.1,2.0,0.0,0.0,0,0,,0.0,0.0,,,84,46.5,84.0,17,0,,4,1.79,26,15,11,0.62,1.02,0,1,8,0,0,0,0,0,GK,0.0,0.0,0.0,0.05649717514124294,0.4519774011299435,0.0,0.0,0.0
2475,Daniele Sommariva,IT ITA,GK,Genoa,Serie A,28.0,1997.0,2,1,176,2.0,0,0,0,0,0,0,0,0,0.0,4.0,2.05,12.0,8.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,88,5.1,90.0,1,1,86.0,35,0.0,1,4,-3,-1.53,-1.34,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2476,Yann Sommer,CH SUI,GK,Inter,Serie A,37.0,1988.0,33,33,2960,32.9,0,0,0,0,0,0,0,0,0.0,30.0,0.91,91.0,64.0,71.4,23.0,5.0,5.0,15.0,45.5,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,86.5,90.0,32,0,,5,2.24,76,30,46,1.4,-0.17,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.060790273556231005,0.0,0.0,0.0
2478,David Soria,ES ESP,GK,Getafe,La Liga,33.0,1993.0,38,38,3420,38.0,0,0,0,0,0,0,2,0,0.0,38.0,1.0,151.0,115.0,75.5,15.0,6.0,17.0,12.0,31.6,1.0,2.0,1.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.34,32,38,-6,-0.16,,0,0,3,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0
2493,Marco Sportiello,IT ITA,GK,Atalanta,Serie A,34.0,1992.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,4.0,3.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,37,1.0,1,1,0,0.0,-0.41,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2531,Zion Suzuki,JP JPN,GK,Parma,Serie A,23.0,2002.0,20,20,1800,20.0,0,0,0,0,0,0,1,0,0.0,28.0,1.4,90.0,65.0,71.1,3.0,7.0,10.0,5.0,25.0,2.0,1.0,0.0,0,0,,0.0,0.0,,,90,52.6,90.0,20,0,,3,0.8,14,28,-14,-0.7,-0.48,0,0,4,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2534,Mile Svilar,RS SRB,GK,Roma,Serie A,26.0,1999.0,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,31.0,0.82,137.0,107.0,78.1,23.0,4.0,11.0,18.0,47.4,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.92,59,31,28,0.74,,0,0,8,0,0,1,1,0,GK,0.0,0.0,0.0,0.0,0.21052631578947367,0.02631578947368421,0.02631578947368421,0.0
2540,Wojciech Szczęsny,PL POL,GK,Barcelona,La Liga,36.0,1990.0,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,15.0,1.87,35.0,22.0,60.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0,0,,0.0,0.0,,,90,21.1,90.0,8,0,,27,1.5,14,15,-1,-0.12,-2.12,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2554,Sander Tangvik,NO NOR,GK,Hamburger SV,Bundesliga,23.0,2002.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,6.0,6.0,83.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,15,1.0,1,1,0,0.0,0.42,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2570,Arnau Tenas,ES ESP,GK,Villarreal,La Liga,24.0,2001.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,16.0,1.6,44.0,30.0,68.2,4.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,26.3,90.0,10,0,,26,1.5,21,16,5,0.5,-0.25,0,0,1,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0
2571,Marc-André ter Stegen,DE GER,GK,Girona,La Liga,34.0,1992.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,2.0,1.0,6.0,4.0,66.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,5.3,90.0,2,0,,0,0.5,1,2,-1,-0.5,-0.08,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2573,Pietro Terracciano,IT ITA,GK,Milan,Serie A,36.0,1990.0,2,1,125,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,2.0,200.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,63,3.7,90.0,1,1,35.0,34,3.0,4,0,4,2.88,2.5,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2621,James Trafford,ENG ENG,GK,Manchester City,Premier League,23.0,2002.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,6.0,1.5,19.0,14.0,73.7,1.0,0.0,3.0,1.0,25.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,10.5,90.0,4,0,,34,0.75,6,6,0,0.0,-1.24,0,0,1,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0
2629,Kevin Trapp,DE GER,GK,Paris FC,Ligue 1,35.0,1990.0,22,22,1980,22.0,0,0,0,0,0,0,2,0,0.0,29.0,1.32,80.0,56.0,71.3,8.0,8.0,6.0,7.0,31.8,6.0,1.0,1.0,0,0,,0.0,0.0,,,90,64.7,90.0,22,0,,11,1.45,29,29,0,0.0,0.25,0,0,6,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.2727272727272727,0.045454545454545456,0.0,0.0
2644,Stefano Turati,IT ITA,GK,Sassuolo,Serie A,24.0,2001.0,6,6,532,5.9,0,0,0,0,0,0,0,0,0.0,7.0,1.18,22.0,15.0,68.2,2.0,1.0,3.0,2.0,33.3,0.0,0.0,0.0,0,0,,0.0,0.0,,,89,15.6,89.0,5,0,,25,1.17,6,7,-1,-0.17,-0.08,0,0,1,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.1694915254237288,0.1694915254237288,0.0,0.0
2655,Sven Ulreich,DE GER,GK,Bayern Munich,Bundesliga,37.0,1988.0,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,1.0,1.0,7.0,6.0,85.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,11,1.0,1,1,0,0.0,-2.61,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2660,Jonas Urbig,DE GER,GK,Bayern Munich,Bundesliga,22.0,2003.0,14,11,1111,12.3,0,0,0,0,0,0,0,0,0.0,15.0,1.22,46.0,32.0,69.6,9.0,1.0,1.0,6.0,54.5,1.0,0.0,1.0,0,0,,0.0,0.0,,,79,36.3,90.0,11,3,40.0,17,2.64,40,15,25,2.03,-0.79,0,0,2,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.16260162601626016,0.0,0.0,0.0
2664,Hákon Valdimarsson,IS ISL,GK,Brentford,Premier League,24.0,2001.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,3.0,3.0,4.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,2.6,90.0,1,0,,37,3.0,4,3,1,1.0,0.95,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2672,Álvaro Vallés,ES ESP,GK,Real Betis,La Liga,28.0,1997.0,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,36.0,1.29,118.0,87.0,72.9,10.0,13.0,5.0,8.0,28.6,4.0,1.0,1.0,0,0,,0.0,0.0,,,90,73.7,90.0,28,0,,10,1.54,44,36,8,0.29,-0.01,0,0,4,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.14285714285714285,0.03571428571428571,0.0,0.0
2679,Maarten Vandevoordt,BE BEL,GK,RB Leipzig,Bundesliga,24.0,2002.0,12,11,1052,11.7,0,0,0,0,0,0,0,0,0.0,15.0,1.28,44.0,30.0,65.9,8.0,1.0,2.0,2.0,18.2,0.0,1.0,0.0,0,0,,0.0,0.0,,,88,34.4,90.0,11,1,62.0,22,2.17,25,15,10,0.86,0.45,0,0,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.08547008547008547,0.0,0.0,0.0
2684,Nikola Vasilj,BA BIH,GK,St Pauli,Bundesliga,30.0,1995.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,60.0,1.76,178.0,123.0,68.0,6.0,8.0,20.0,5.0,14.7,3.0,2.0,1.0,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,0.76,29,60,-31,-0.91,,0,0,1,0,0,1,1,1,GK,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.0
2705,Bart Verbruggen,NL NED,GK,Brighton,Premier League,23.0,2002.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,46.0,1.21,145.0,103.0,71.7,14.0,11.0,13.0,10.0,26.3,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.39,52,46,6,0.16,,0,2,2,0,0,0,1,1,GK,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.02631578947368421,0.0
2712,Guglielmo Vicario,IT ITA,GK,Tottenham Hotspur,Premier League,29.0,1996.0,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.0,50.0,1.61,131.0,83.0,63.4,7.0,9.0,15.0,7.0,22.6,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,81.6,90.0,31,0,,2,0.97,40,50,-10,-0.32,-0.47,0,0,3,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.03225806451612903,0.0
2725,Odysseas Vlachodimos,GR GRE,GK,Sevilla,La Liga,32.0,1994.0,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,52.0,1.58,131.0,88.0,66.4,11.0,6.0,16.0,5.0,15.2,8.0,1.0,1.0,0,0,,0.0,0.0,,,90,86.8,90.0,33,0,,3,1.18,39,52,-13,-0.39,-0.19,0,0,2,0,0,1,0,0,GK,0.0,0.0,0.0,0.0,0.06060606060606061,0.030303030303030304,0.0,0.0
2751,Max Weiß,DE GER,GK,Burnley,Premier League,21.0,2004.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,4.0,1.33,13.0,10.0,76.9,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,7.9,90.0,3,0,,35,0.67,3,4,-1,-0.33,0.7,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2779,Freddie Woodman,ENG ENG,GK,Liverpool,Premier League,29.0,1997.0,3,2,213,2.4,0,0,0,0,0,0,0,0,0.0,4.0,1.69,13.0,9.0,69.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,71,6.2,90.0,2,1,33.0,16,2.0,6,4,2,0.85,0.62,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,Gioele Zacchi,IT ITA,GK,Sassuolo,Serie A,22.0,2003.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,,0.0,0.0,,,8,0.2,,0,1,8.0,33,0.0,0,0,0,0.0,0.11,0,0,0,0,0,0,0,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2820,Robin Zentner,DE GER,GK,Mainz 05,Bundesliga,31.0,1994.0,10,10,876,9.7,0,0,0,0,0,0,2,1,0.0,14.0,1.44,45.0,31.0,68.9,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,88,28.6,88.0,9,0,,3,0.6,9,14,-5,-0.51,-0.35,0,2,1,0,0,0,0,0,GK,0.0,0.0,0.0,0.2061855670103093,0.10309278350515465,0.0,0.0,0.0
2823,Michael Zetterer,DE GER,GK,Eintracht Frankfurt,Bundesliga,30.0,1995.0,22,21,1976,22.0,0,0,0,0,0,0,1,0,0.0,33.0,1.5,93.0,62.0,66.7,8.0,7.0,6.0,6.0,28.6,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,64.6,90.0,21,1,86.0,12,1.55,34,33,1,0.05,0.46,0,0,6,0,0,1,1,0,GK,0.0,0.0,0.0,0.0,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.0
2827,Melvin Zinga,FR FRA,GK,Angers,Ligue 1,24.0,2002.0,3,2,222,2.5,0,0,0,0,0,0,0,0,0.0,5.0,2.03,13.0,8.0,61.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,74,7.3,90.0,2,1,42.0,21,0.33,3,5,-2,-0.81,-0.27,0,0,0,0,0,0,1,0,GK,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
